docId,SentenceID,Word,Tag
1,1,High-Performance,O
1,1,One-Body,B-morph
1,1,Core/Shell,B-morph
1,1,Nanowire,B-morph
1,1,Supercapacitor,O
1,1,Enabled,O
1,1,by,O
1,1,Conformal,O
1,1,Growth,O
1,1,of,O
1,1,Capacitive,O
1,1,2D,B-morph
1,1,WS2,B-mat
1,1,Layers,O
1,2,Two-dimensional,B-morph
1,2,2D,B-morph
1,2,transition-metal,B-mat
1,2,dichalcogenides,I-mat
1,2,TMDs,B-mat
1,2,have,O
1,2,emerged,O
1,2,as,O
1,2,promising,O
1,2,capacitive,O
1,2,materials,O
1,2,for,O
1,2,supercapacitor,O
1,2,devices,O
1,2,owing,O
1,2,to,O
1,2,their,O
1,2,intrinsically,O
1,2,layered,O
1,2,structure,O
1,2,and,O
1,2,large,O
1,2,surface,O
1,2,areas,O
1,3,Hierarchically,O
1,3,integrating,O
1,3,2D,B-morph
1,3,TMDs,B-mat
1,3,with,O
1,3,other,O
1,3,functional,O
1,3,nanomaterials,O
1,3,has,O
1,3,recently,O
1,3,been,O
1,3,pursued,O
1,3,to,O
1,3,improve,O
1,3,electrochemical,O
1,3,performances,O
1,3,however,O
1,3,it,O
1,3,often,O
1,3,suffers,O
1,3,from,O
1,3,limited,O
1,3,cyclic,O
1,3,stabilities,O
1,3,and,O
1,3,capacitance,O
1,3,losses,O
1,3,due,O
1,3,to,O
1,3,the,O
1,3,poor,O
1,3,structural,O
1,3,integrity,O
1,3,at,O
1,3,the,O
1,3,interfaces,O
1,3,of,O
1,3,randomly,O
1,3,assembled,O
1,3,materials,O
1,4,Here,O
1,4,we,O
1,4,report,O
1,4,high-performance,O
1,4,core/shell,B-morph
1,4,nanowire,B-morph
1,4,supercapacitors,O
1,4,based,O
1,4,on,O
1,4,an,O
1,4,array,O
1,4,of,O
1,4,one-dimensional,B-morph
1,4,1D,B-morph
1,4,nanowires,B-morph
1,4,seamlessly,O
1,4,integrated,O
1,4,with,O
1,4,conformal,O
1,4,2D,B-morph
1,4,TMD,B-mat
1,4,layers,O
1,5,The,O
1,5,1D,B-morph
1,5,and,O
1,5,2D,B-morph
1,5,supercapacitor,O
1,5,components,O
1,5,possess,O
1,5,one-body,B-morph
1,5,geometry,O
1,5,with,O
1,5,atomically,O
1,5,sharp,O
1,5,and,O
1,5,structurally,O
1,5,robust,O
1,5,core/shell,B-morph
1,5,interfaces,O
1,5,as,O
1,5,they,O
1,5,were,O
1,5,spontaneously,O
1,5,converted,O
1,5,from,O
1,5,identical,O
1,5,metal,O
1,5,current,O
1,5,collectors,O
1,5,via,O
1,5,sequential,O
1,5,oxidation/sulfurization,B-proc
1,6,These,O
1,6,hybrid,O
1,6,supercapacitors,O
1,6,outperform,O
1,6,previously,O
1,6,developed,O
1,6,any,O
1,6,stand-alone,O
1,6,2D,B-morph
1,6,TMD-based,O
1,6,supercapacitors,O
1,6,particularly,O
1,6,exhibiting,O
1,6,an,O
1,6,exceptional,O
1,6,charge-discharge,O
1,6,retention,O
1,6,over,O
1,6,30000,O
1,6,cycles,O
1,6,owing,O
1,6,to,O
1,6,their,O
1,6,structural,O
1,6,robustness,O
1,6,suggesting,O
1,6,great,O
1,6,potential,O
1,6,for,O
1,6,unconventional,O
1,6,energy,O
1,6,storage,O
1,6,technologies,O
1,7,Here,O
1,7,we,O
1,7,develop,O
1,7,high-performance,O
1,7,flexible,O
1,7,supercapacitors,O
1,7,based,O
1,7,on,O
1,7,1D/2D,B-morph
1,7,core/shell,B-morph
1,7,nanowires,B-morph
1,7,directly,O
1,7,assembled,O
1,7,on,O
1,7,metal,O
1,7,foils,O
1,7,and,O
1,7,explore,O
1,7,their,O
1,7,electrochemical,O
1,7,performances,O
1,8,All,O
1,8,nanowire,B-morph
1,8,supercapacitor,O
1,8,components,O
1,8,ie,O
1,8,highly,O
1,8,single-crystalline,B-morph
1,8,tungsten,B-mat
1,8,trioxide,I-mat
1,8,WO3,B-mat
1,8,core,O
1,8,and,O
1,8,2D,B-morph
1,8,WS2,B-mat
1,8,shell,O
1,8,were,O
1,8,fabricated,O
1,8,by,O
1,8,the,O
1,8,spontaneous,O
1,8,oxidation/sulfurization,B-proc
1,8,of,O
1,8,a,O
1,8,W,B-mat
1,8,foil,I-mat
1,8,which,O
1,8,leads,O
1,8,to,O
1,8,the,O
1,8,one-body,B-morph
1,8,array,O
1,8,of,O
1,8,supercapacitors,O
1,8,with,O
1,8,seamless,O
1,8,interfaces,O
1,9,These,O
1,9,supercapacitors,O
1,9,exhibit,O
1,9,excellent,O
1,9,electrochemical,O
1,9,performances,O
1,9,surpassing,O
1,9,previously,O
1,9,reported,O
1,9,standalone,O
1,9,2D,B-morph
1,9,TMD,B-mat
1,9,supercapacitors,O
1,9,particularly,O
1,9,impressively,O
1,9,long,O
1,9,cycle,O
1,9,stabilities,O
1,10,the,O
1,10,nanowire,B-morph
1,10,core,O
1,10,is,O
1,10,composed,O
1,10,of,O
1,10,electrically,O
1,10,conductive,O
1,10,highly,O
1,10,single-crystalline,B-morph
1,10,WO3,B-mat
1,10,for,O
1,10,efficient,O
1,10,carrier,O
1,10,transports,O
1,11,the,O
1,11,nanowire,B-morph
1,11,shell,O
1,11,is,O
1,11,composed,O
1,11,of,O
1,11,2D,B-morph
1,11,WS2,B-mat
1,11,with,O
1,11,subnanometer,O
1,11,physical,O
1,11,gaps,O
1,11,van,O
1,11,der,O
1,11,Waals,O
1,11,gaps,O
1,11,in,O
1,11,between,O
1,11,individual,O
1,11,2D,B-morph
1,11,layers,O
1,11,for,O
1,11,facile,O
1,11,ion,O
1,11,absorption,O
1,11,from,O
1,11,electrolytes,O
1,12,The,O
1,12,fabrication,O
1,12,starts,O
1,12,with,O
1,12,the,O
1,12,preparation,O
1,12,of,O
1,12,a,O
1,12,metal,O
1,12,current,O
1,12,collector,O
1,12,tungsten,B-mat
1,12,W,B-mat
1,12,foil,I-mat
1,12,which,O
1,12,is,O
1,12,to,O
1,12,be,O
1,12,sequentially,O
1,12,converted,O
1,12,to,O
1,12,W-based,O
1,12,core/shell,B-morph
1,12,nanowires,B-morph
1,13,The,O
1,13,W,B-mat
1,13,foil,I-mat
1,13,is,O
1,13,drop-casted,B-proc
1,13,with,O
1,13,potassium,B-electrolyte
1,13,hydroxide,I-electrolyte
1,13,KOH,B-electrolyte
1,13,and,O
1,13,is,O
1,13,subsequently,O
1,13,oxidized,B-proc
1,13,at,O
1,13,650,B-val
1,13,°C,I-val
1,13,which,O
1,13,leads,O
1,13,to,O
1,13,the,O
1,13,formation,O
1,13,of,O
1,13,vertically,O
1,13,aligned,O
1,13,single-crystalline,B-morph
1,13,WO3,B-mat
1,13,nanowires,B-morph
1,13,in,O
1,13,hexagonal,O
1,13,h-,O
1,13,structures,O
1,14,The,O
1,14,nanowires,O
1,14,are,O
1,14,then,O
1,14,sulfurized,B-proc
1,14,in,O
1,14,a,O
1,14,chemical,B-proc
1,14,vapor,I-proc
1,14,deposition,I-proc
1,14,CVD,B-proc
1,14,furnace,O
1,14,under,O
1,14,sulfur,B-mat
1,14,S,B-mat
1,14,environment,O
1,14,which,O
1,14,converts,O
1,14,the,O
1,14,outer,O
1,14,surface,O
1,14,of,O
1,14,the,O
1,14,h-WO3,B-mat
1,14,nanowires,B-morph
1,14,to,O
1,14,2D,B-morph
1,14,WS2,B-mat
1,15,The,O
1,15,morphology,O
1,15,of,O
1,15,the,O
1,15,hWO3/WS2,B-mat
1,15,core/shell,B-morph
1,15,nanowires,B-morph
1,15,is,O
1,15,characterized,O
1,15,with,O
1,15,scanning,O
1,15,electron,O
1,15,microscopy,O
1,15,SEM,O
1,15,X-ray,O
1,15,diffractometer,O
1,15,XRD,O
1,15,and,O
1,15,Raman,O
1,15,spectroscopy,O
1,16,The,O
1,16,SEM,O
1,16,image,O
1,16,reveals,O
1,16,highly,O
1,16,dense,O
1,16,well-aligned,O
1,16,nanowires,B-morph
1,16,with,O
1,16,diameters,B-morph
1,16,of,O
1,16,150-200,B-val
1,16,nm,I-val
1,16,and,O
1,16,lengths,B-morph
1,16,of,O
1,16,8−10,B-val
1,16,μm,I-val
1,16,leading,O
1,16,to,O
1,16,an,O
1,16,aspect,O
1,16,ratio,O
1,16,as,O
1,16,high,O
1,16,as,O
1,16,50,O
1,17,Figure,O
1,17,2c,O
1,17,shows,O
1,17,the,O
1,17,XRD,O
1,17,patterns,O
1,17,of,O
1,17,the,O
1,17,asprepared,O
1,17,core/shell,B-morph
1,17,nanowires,B-morph
1,17,on,O
1,17,the,O
1,17,W,B-mat
1,17,foil,I-mat
1,18,Most,O
1,18,of,O
1,18,the,O
1,18,distinguishable,O
1,18,XRD,O
1,18,peaks,O
1,18,can,O
1,18,be,O
1,18,indexed,O
1,18,to,O
1,18,the,O
1,18,standard,O
1,18,diffraction,O
1,18,patterns,O
1,18,of,O
1,18,single-crystalline,B-morph
1,18,h-WO3,B-mat
1,18,without,O
1,18,any,O
1,18,impurities,O
1,18,consistent,O
1,18,with,O
1,18,previous,O
1,18,reports,O
1,19,A,O
1,19,small,O
1,19,peak,O
1,19,observed,O
1,19,at,O
1,19,2θ,O
1,19,=,O
1,19,57.8°,O
1,19,can,O
1,19,be,O
1,19,attributed,O
1,19,to,O
1,19,the,O
1,19,200,O
1,19,lattice,O
1,19,planes,O
1,19,of,O
1,19,pure,O
1,19,W,B-mat
1,19,which,O
1,19,must,O
1,19,be,O
1,19,originated,O
1,19,from,O
1,19,the,O
1,19,W,B-mat
1,19,foil,I-mat
1,20,The,O
1,20,absence,O
1,20,of,O
1,20,XRD,O
1,20,peaks,O
1,20,corresponding,O
1,20,to,O
1,20,2D,B-morph
1,20,WS2,B-mat
1,20,layers,O
1,20,is,O
1,20,obvious,O
1,20,because,O
1,20,of,O
1,20,the,O
1,20,small,O
1,20,thickness,O
1,20,of,O
1,20,2D,B-morph
1,20,WS2,B-mat
1,20,and,O
1,20,details,O
1,20,are,O
1,20,discussed,O
1,20,and,O
1,20,confirmed,O
1,20,in,O
1,20,proceeding,O
1,20,sections,O
1,21,The,O
1,21,structural,O
1,21,quality,O
1,21,of,O
1,21,h-WO3/WS2,B-mat
1,21,core/shell,B-morph
1,21,nanowires,B-morph
1,21,was,O
1,21,further,O
1,21,characterized,O
1,21,by,O
1,21,the,O
1,21,Raman,O
1,21,spectroscopy,O
1,21,under,O
1,21,532,B-val
1,21,nm,I-val
1,21,laser,O
1,21,attained,O
1,21,at,O
1,21,room,O
1,21,temperature,O
1,22,Indeed,O
1,22,the,O
1,22,Raman,O
1,22,characterization,O
1,22,of,O
1,22,as-prepared,O
1,22,h-WO3,B-mat
1,22,nanowires,B-morph
1,22,before,O
1,22,sulfurization,B-proc
1,22,more,O
1,22,clearly,O
1,22,reveals,O
1,22,the,O
1,22,stretching,O
1,22,modes,O
1,22,of,O
1,22,O−W−O,O
1,22,bonds,O
1,23,To,O
1,23,elucidate,O
1,23,the,O
1,23,crystalline,O
1,23,structure,O
1,23,and,O
1,23,the,O
1,23,interface,O
1,23,morphology,O
1,23,of,O
1,23,the,O
1,23,h-WO3/WS2,B-mat
1,23,core/shell,B-morph
1,23,nanowires,B-morph
1,23,various,O
1,23,transmission,O
1,23,electron,O
1,23,microscopy,O
1,23,TEM,O
1,23,characterizations,O
1,23,were,O
1,23,performed,O
1,24,highly,O
1,24,single-crystalline,B-morph
1,24,hWO3,B-mat
1,24,core,O
1,24,which,O
1,24,maintains,O
1,24,its,O
1,24,crystallinity,O
1,24,throughout,O
1,24,the,O
1,24,entire,O
1,24,nanowire,B-morph
1,24,length,B-morph
1,24,along,O
1,24,the,O
1,24,[001],O
1,24,axis,O
1,24,of,O
1,24,h-WO3,B-mat
1,25,The,O
1,25,zoomed-in,O
1,25,ADF-STEM,O
1,25,image,O
1,25,in,O
1,25,Figure,O
1,25,3c,O
1,25,further,O
1,25,shows,O
1,25,that,O
1,25,the,O
1,25,shell,O
1,25,is,O
1,25,composed,O
1,25,of,O
1,25,2D,B-morph
1,25,WS2,B-mat
1,25,layers,O
1,25,with,O
1,25,uniformly,O
1,25,spaced,O
1,25,2D,B-morph
1,25,layers,O
